"","ROCK.Class","ROCK.fieldacres","ROCK.Commodity","ROCK.Bin","ROCK.Year","ROCK.year","ROCK.threshold","ROCK.NASSacres","ROCK.County"
"143",1,161873.607896245,"CORN","Corn",2008,2008,2,179918,"ROCK"
"144",5,82429.4820692753,"SOYBEANS","Soy",2008,2008,2,66510,"ROCK"
"145",12,1526.6988527504,"SWEET CORN","Sweet Corn",2008,2008,2,3014,"ROCK"
"147",24,13356.5128608908,"WHEAT","Winter Wheat",2008,2008,2,22252,"ROCK"
"148",28,344.845516914199,"OATS","Row Crops",2008,2008,2,883,"ROCK"
"149",36,15265.6978507312,"HAY","Alfalfa",2008,2008,2,38488,"ROCK"
"155",1,163693.08367643,"CORN","Corn",2008,2008,1,179918,"ROCK"
"156",5,83075.4396273404,"SOYBEANS","Soy",2008,2008,1,66510,"ROCK"
"157",12,1528.316157841,"SWEET CORN","Sweet Corn",2008,2008,1,3014,"ROCK"
"159",24,13515.4205782599,"WHEAT","Winter Wheat",2008,2008,1,22252,"ROCK"
"160",28,359.389097182134,"OATS","Row Crops",2008,2008,1,883,"ROCK"
"161",36,17260.6205561948,"HAY","Alfalfa",2008,2008,1,38488,"ROCK"
"695",1,139886.487455962,"CORN","Corn",2012,2012,14,173160,"ROCK"
"696",5,69322.8861607262,"SOYBEANS","Soy",2012,2012,14,88950,"ROCK"
"697",12,695.794517404382,"SWEET CORN","Sweet Corn",2012,2012,14,3293,"ROCK"
"699",24,6128.08900194209,"WHEAT","Winter Wheat",2012,2012,14,17304,"ROCK"
"701",28,15.3182311561841,"OATS","Row Crops",2012,2012,14,366,"ROCK"
"702",36,3714.44559094492,"HAY","Alfalfa",2012,2012,14,31294,"ROCK"
"704",43,12.0378353021851,"POTATOES","Potatoes",2012,2012,14,16,"ROCK"
"708",1,151959.785583168,"CORN","Corn",2012,2012,13,173160,"ROCK"
"709",5,74763.0507794024,"SOYBEANS","Soy",2012,2012,13,88950,"ROCK"
"710",11,11.4140182470581,"TOBACCO","Row Crops",2012,2012,13,197,"ROCK"
"711",12,1175.93088427295,"SWEET CORN","Sweet Corn",2012,2012,13,3293,"ROCK"
"713",24,7554.67431241938,"WHEAT","Winter Wheat",2012,2012,13,17304,"ROCK"
"715",28,96.1429470128345,"OATS","Row Crops",2012,2012,13,366,"ROCK"
"716",36,7671.23557300146,"HAY","Alfalfa",2012,2012,13,31294,"ROCK"
"718",43,16.4863171536505,"POTATOES","Potatoes",2012,2012,13,16,"ROCK"
"722",1,157103.504127823,"CORN","Corn",2012,2012,12,173160,"ROCK"
"723",5,76669.037754009,"SOYBEANS","Soy",2012,2012,12,88950,"ROCK"
"724",11,11.5530875354071,"TOBACCO","Row Crops",2012,2012,12,197,"ROCK"
"725",12,1180.56972517449,"SWEET CORN","Sweet Corn",2012,2012,12,3293,"ROCK"
"727",24,7879.01228009187,"WHEAT","Winter Wheat",2012,2012,12,17304,"ROCK"
"729",28,108.690839853652,"OATS","Row Crops",2012,2012,12,366,"ROCK"
