"","year","area_total"
"1","2001",37284084.5401395
"2","2004",37212711.4732545
"3","2006",37122369.0450975
"4","2008",37037657.423286
"5","2011",36967233.091338
"6","2013",36941701.9803435
"7","2016",36916199.780634
"8","2019",36897902.495541
